DATE,MONTH,cloud_cover,global_radiation,precipitation,sunshine,temp_mean,temp_min,temp_max,humidity,humidity_class
20000101,1,7,0.82,1.34,0,-15.2,-17,-13.4,0.89,Mid
20000102,1,5,0.6,0.39,2.8,-13.7,-15,-12.3,0.86,Low
20000103,1,3,0.81,0,5.1,-9.2,-12.5,-5.8,0.41,Low
20000104,1,1,1.05,0.11,8.7,-5.6,-7,-4.2,0.25,Low
20000105,1,4,0.69,0.17,3.4,-7.6,-9.4,-5.8,0.77,Low
20000106,1,0,0.89,0,8.7,-6.6,-9.4,-3.8,0.45,Low
20000107,1,2,0.87,0,8.4,-7.9,-9.2,-6.5,0.36,Low
20000108,1,0,0.91,0,8.8,-8.5,-9.6,-7.4,0.53,Low
20000109,1,4,0.75,0.2,5.2,-10.6,-11.9,-9.2,0.59,Low
20000110,1,8,0.25,0.38,0,-13.3,-15,-11.6,0.97,High
20000111,1,3,0.91,0,5.8,-14.3,-15.1,-13.4,0.83,Low
20000112,1,1,0.95,0,9,-13,-14.8,-11.2,0.38,Low
20000113,1,0,0.86,0,9,-11.6,-13,-10.2,0.19,Low
20000114,1,1,0.95,0,8.9,-11.6,-13.2,-9.9,0.65,Low
20000115,1,1,0.96,0,9.1,-8.9,-10.2,-7.6,0.52,Low
20000116,1,1,1.04,0,8.7,-13.6,-17,-10.2,0.75,Low
20000117,1,8,0.51,0.95,0,-12.8,-17.2,-8.4,0.94,Mid
20000118,1,8,0.22,2.49,0,-11.7,-14.1,-9.3,0.9,Mid
20000119,1,7,0.65,0.12,0.6,-17.7,-21.2,-14.1,0.85,Low
20000120,1,5,1.14,0.14,7.5,-18,-21.2,-14.8,0.88,Mid
20000121,1,8,0.31,2.22,0,-15.8,-16.2,-15.4,0.9,Mid
20000122,1,8,0.69,0.67,0,-15.9,-17.3,-14.5,0.88,Mid
20000123,1,8,0.77,0.57,0,-17.7,-19.2,-16.1,0.91,Mid
20000124,1,5,0.66,0.03,1.1,-22.9,-26.5,-19.2,0.87,Mid
20000125,1,0,1.29,0,9.4,-23.5,-26.6,-20.4,0.66,Low
20000126,1,0,1.12,0,8.9,-15.8,-20.7,-10.8,0.47,Low
20000127,1,0,0.97,0,9.4,-8.4,-12,-4.8,0.46,Low
20000128,1,1,1.19,0,9.3,-13.6,-18.6,-8.5,0.6,Low
20000129,1,6,0.85,1.75,3.9,-11,-14.4,-7.5,0.84,Low
20000130,1,8,0.31,3.59,0,-8.3,-9.3,-7.2,0.98,High
20000131,1,4,1.39,0,8.9,-6.3,-8.4,-4.2,0.86,Low
20000201,2,1,1.28,0,9.6,-5.3,-8.2,-2.4,0.46,Low
20000202,2,6,1.03,0.8,5.6,-5,-7.3,-2.6,0.64,Low
20000203,2,8,1.03,1.04,0,-10.3,-14.2,-6.4,0.96,Mid
20000204,2,1,1.36,0.14,9.8,-12.3,-15.8,-8.7,0.82,Low
20000205,2,8,0.82,0.6,0,-7.5,-10,-5,0.99,High
20000206,2,3,1.33,0,8.3,-5.9,-7.6,-4.2,0.7,Low
20000207,2,6,1.49,0.34,7.1,-6.7,-7.8,-5.6,0.9,Mid
20000208,2,7,1.33,2.17,5.2,-7.3,-9.7,-4.8,0.9,Mid
20000209,2,8,0.8,2.5,0,-11.3,-17.4,-5.2,0.94,Mid
20000210,2,3,1.53,0.12,7.2,-13.7,-17.2,-10.2,0.77,Low
20000211,2,7,0.72,0,0,-9.4,-12,-6.8,0.68,Low
20000212,2,4,1.46,0,9.1,-12,-13.5,-10.5,0.78,Low
20000213,2,6,1.07,2.07,5.3,-11.7,-13.8,-9.6,0.89,Mid
20000214,2,7,1.55,0.25,7.2,-12.1,-14.1,-10,0.96,Mid
20000215,2,8,1.08,0.82,0,-10.6,-13.6,-7.6,0.95,Mid
